iter	RMSE
0	0.1358546376
1	0.1297472509
2	0.1239227478
3	0.118405156
4	0.113059244
5	0.1080879553
6	0.1033348056
7	0.09882581049
8	0.09465119413
9	0.09059832327
10	0.08671998071
11	0.08310661226
12	0.07976375958
13	0.07651799459
14	0.07347630335
15	0.07064107568
16	0.06789798284
17	0.06529833763
18	0.06285924424
19	0.06054273727
20	0.05843851383
21	0.056379141
22	0.05447022812
23	0.05264691237
24	0.05092764875
25	0.04934435356
26	0.04785656007
27	0.04644409442
28	0.04512718953
29	0.04394615921
30	0.0428013221
31	0.04174354602
32	0.04074944177
33	0.03983252161
34	0.03895490427
35	0.03814041727
36	0.03736858023
37	0.03666068533
38	0.03602594956
39	0.03543974835
40	0.03490968823
41	0.03440538609
42	0.03392713639
43	0.03349864768
44	0.03309605908
45	0.03271777642
46	0.03235416823
47	0.03203104551
48	0.0317328026
49	0.03145622613
50	0.03120536754
51	0.03097808919
52	0.03075640556
53	0.03055704889
54	0.03036724367
55	0.0301951274
56	0.03002649283
57	0.02987333204
58	0.02974786713
59	0.029624977
60	0.02951312946
61	0.02938188399
62	0.0292445217
63	0.02911759842
64	0.02900433365
65	0.02889853515
66	0.02880073455
67	0.02870881799
68	0.0286194781
69	0.02854607318
70	0.02848450722
71	0.02842028868
72	0.02835236488
73	0.02829067319
74	0.02823847138
75	0.02818475581
76	0.02813509329
77	0.02809323717
78	0.02805542587
79	0.02801432906
80	0.0279770878
81	0.02794421267
82	0.02790616377
83	0.02787589139
84	0.02785031633
85	0.02782441974
86	0.02779809705
87	0.02777118492
88	0.02774947897
89	0.02772164894
90	0.02770316751
91	0.02768239342
92	0.02765159767
93	0.02763268474
94	0.02761083523
95	0.02758682643
96	0.02757277188
97	0.02755662322
98	0.02753135013
99	0.0275096514
100	0.02748777903
101	0.02746914399
102	0.02745234669
103	0.02743079868
104	0.02741286448
105	0.02739912454
106	0.02738471649
107	0.02737039396
108	0.02735576011
109	0.02734667059
110	0.02733353771
111	0.027319315
112	0.0273077482
113	0.02729830117
114	0.02728506929
115	0.027274155
116	0.02726193295
117	0.02725153572
118	0.02723779974
119	0.02722625719
120	0.0272153258
121	0.02720465762
122	0.02719595217
123	0.02718634348
124	0.02717967229
125	0.02717309634
126	0.0271657519
127	0.02715300976
128	0.02714253304
129	0.02713183694
130	0.0271253436
131	0.02711388745
132	0.02710754434
133	0.02709961697
134	0.02708940741
135	0.02708070043
136	0.02707577695
137	0.02706664865
138	0.02705567352
139	0.02705008678
140	0.02703814632
141	0.02703034146
142	0.02701296985
143	0.02700986888
144	0.02699991016
145	0.02699180225
146	0.02698005452
147	0.02696821545
148	0.02696373884
149	0.02695564511
150	0.02694617467
151	0.02693807887
152	0.02692663078
153	0.02692116893
154	0.02691858467
155	0.02691113405
156	0.02690239677
157	0.02688982492
158	0.02688364175
159	0.02687446861
160	0.02687051628
161	0.02686700089
162	0.02686164855
163	0.02685401284
164	0.02684792422
165	0.02684155746
166	0.02683426625
167	0.0268228513
168	0.02681974851
169	0.02681627268
170	0.02680818303
171	0.02680383569
172	0.02679040165
173	0.02678514571
174	0.02677705221
175	0.02677293033
176	0.02676852976
177	0.02676460777
178	0.02675522888
179	0.02674630634
180	0.02674011235
181	0.02673483122
182	0.02672632318
183	0.02671916312
184	0.0267073075
185	0.02669788716
186	0.02669259027
187	0.02668984117
188	0.02668273174
189	0.02667203339
190	0.02666588007
191	0.02666070608
192	0.02665484072
193	0.02664515707
194	0.02664268077
195	0.02663403677
196	0.02662839708
197	0.02662105419
198	0.02661769623
199	0.02661045929
200	0.02660251471
201	0.02659443806
202	0.02658954803
203	0.02658209293
204	0.0265781447
205	0.02656917678
206	0.02656099507
207	0.02655866165
208	0.02654831032
209	0.02653997734
210	0.0265315046
211	0.02652522624
212	0.02652067509
213	0.02651547541
214	0.02650968328
215	0.02650647733
216	0.02650243434
217	0.0264939052
218	0.0264893379
219	0.02648545376
220	0.02648119214
221	0.02647815627
222	0.02647079924
223	0.02646947308
224	0.02646619553
225	0.02645715765
226	0.02644768753
227	0.0264424065
228	0.02643424539
229	0.02642862179
230	0.02642413539
231	0.0264194602
232	0.02640882416
233	0.02640128515
234	0.02639312821
235	0.02638150247
236	0.02637951807
237	0.02637878984
238	0.02637266575
239	0.02636428702
240	0.02636333369
241	0.02635936899
242	0.02635623712
243	0.02635137603
244	0.02634479525
245	0.02634170912
246	0.0263355886
247	0.02632532143
248	0.02631581689
249	0.02630684585
250	0.02630298701
251	0.02629890257
252	0.02629211308
253	0.02628894354
254	0.02627885955
255	0.02626841835
256	0.02626621914
257	0.02625397705
258	0.02624783677
259	0.02624556129
260	0.02624543848
261	0.02624076608
262	0.02623781954
263	0.02622699135
264	0.0262211507
265	0.02621693018
266	0.02621511021
267	0.02621358671
268	0.02620755087
269	0.02620365011
270	0.02619388104
271	0.02618750487
272	0.02618251956
273	0.02617394577
274	0.02616984911
275	0.02616199881
276	0.02615841422
277	0.02615422416
278	0.02614779759
279	0.02614343201
280	0.02613762076
281	0.0261299368
282	0.02612508709
283	0.02612254913
284	0.02612009186
285	0.02611708428
286	0.02611204541
287	0.02610370967
288	0.02609949495
289	0.02609264725
290	0.02609057524
291	0.02608724751
292	0.02608464164
293	0.0260758625
294	0.02606767367
295	0.02606570593
296	0.02606150746
297	0.02605567565
298	0.0260454267
299	0.02604000165
300	0.02603316659
301	0.02603266513
302	0.02602926753
303	0.02602161127
304	0.02601228661
305	0.02600438827
306	0.02600139157
307	0.0259986937
308	0.02599596114
309	0.0259873245
310	0.02598601083
311	0.0259844887
312	0.02598010107
313	0.02597390588
314	0.02597023483
315	0.02596852029
316	0.02595631976
317	0.02595315179
318	0.02594646339
319	0.02594316398
320	0.02593797327
321	0.02593111316
322	0.02592708554
323	0.02591855698
324	0.02591069677
325	0.02590508559
326	0.02590351416
327	0.02589779344
328	0.02589143241
329	0.02588429661
330	0.02588129725
331	0.02587967521
332	0.02587572512
333	0.02587208948
334	0.02586684345
335	0.02586397806
336	0.025862169
337	0.02585998209
338	0.02585545068
339	0.02585191587
340	0.02584378102
341	0.02583800344
342	0.02583145223
343	0.02582526822
344	0.0258222756
345	0.0258148487
346	0.02581005008
347	0.025801892
348	0.02579483459
349	0.02579146631
350	0.02579133313
351	0.02578507417
352	0.02578073298
353	0.0257736391
354	0.0257699245
355	0.02576363992
356	0.02575880925
357	0.02575397418
358	0.02574721654
359	0.02573942611
360	0.02573679262
361	0.02573172055
362	0.02572555717
363	0.02572542875
364	0.02572328157
365	0.02571877528
366	0.02571298828
367	0.02570705946
368	0.02570091692
369	0.02569759642
370	0.02569190412
371	0.02568651617
372	0.02568084747
373	0.02567417211
374	0.02566995355
375	0.02566701924
376	0.02566089893
377	0.025655146
378	0.02565076247
379	0.02564152248
380	0.0256358693
381	0.02562905664
382	0.02562444243
383	0.02561895148
384	0.02561484394
385	0.02560926772
386	0.02560482073
387	0.02560043939
388	0.02559528665
389	0.02559506911
390	0.02558661236
391	0.02557913636
392	0.02557168495
393	0.02556686691
394	0.02556044383
395	0.02555820902
396	0.02555547041
397	0.02555011269
398	0.02554891187
399	0.0255459063
400	0.02554579279
401	0.02554029237
402	0.02553531672
403	0.02552815112
404	0.02552611972
405	0.02552110348
406	0.02551793354
407	0.02551284597
408	0.02550933385
409	0.02550869184
410	0.02550335282
411	0.02549848165
412	0.0254946306
413	0.02549348753
414	0.02548363683
415	0.02548018021
416	0.02547297062
417	0.02546648388
418	0.02545978854
419	0.02545635287
420	0.0254513174
421	0.02544560727
422	0.02544302496
423	0.02544076236
424	0.0254379401
425	0.02543205254
426	0.02542517937
427	0.02542083074
428	0.02541675328
429	0.02541369404
430	0.02541292502
431	0.02540980844
432	0.02540445435
433	0.02539911854
434	0.02539566305
435	0.0253902461
436	0.02538764525
437	0.02538518565
438	0.02537954429
439	0.02537338995
440	0.02536485383
441	0.02535783899
442	0.0253530881
443	0.02535061399
444	0.02534193442
445	0.02534183563
446	0.02534051776
447	0.02534042462
448	0.02534025029
449	0.02533476489
450	0.02533042414
451	0.02532591657
452	0.02532342578
453	0.02531971688
454	0.025313309
455	0.02531232501
456	0.02530787374
457	0.02530237704
458	0.02529928247
459	0.02529582643
460	0.02529193288
461	0.02528766749
462	0.02528483463
463	0.02528079161
464	0.02527229867
465	0.02527074081
466	0.02526832246
467	0.02526664299
468	0.02526147927
469	0.02525874433
470	0.02525495987
471	0.02525005345
472	0.02524517982
473	0.02524258902
474	0.02524242701
475	0.02523786656
476	0.02523397169
477	0.02523294965
478	0.02522703726
479	0.02522084959
480	0.02521315306
481	0.02520597598
482	0.02520026687
483	0.02519649768
484	0.02519432446
485	0.02519171225
486	0.02518635001
487	0.02517819178
488	0.02517375868
489	0.02516952533
490	0.02516240853
491	0.02516005563
492	0.02515632673
493	0.02515246787
494	0.02514999409
495	0.02514633671
496	0.02514284282
497	0.02514095914
498	0.02513710176
499	0.02513311439
500	0.02512659299
501	0.02512362896
502	0.02511994194
503	0.02511447388
504	0.02511039214
505	0.02510762426
506	0.02510051874
507	0.02509791007
508	0.02509515402
509	0.02508936461
510	0.02508498418
511	0.02508159974
512	0.02507768376
513	0.02507639964
514	0.02507225925
515	0.02506737852
516	0.02506042425
517	0.02505749341
518	0.02505128875
519	0.02504819466
520	0.02504428842
521	0.0250416393
522	0.02503788712
523	0.02503473383
524	0.02503264131
525	0.02503074631
526	0.02502659396
527	0.0250237152
528	0.0250225325
529	0.02501793599
530	0.02501468731
531	0.02501321017
532	0.02501097092
533	0.02500938766
534	0.02500701364
535	0.02500275649
536	0.02500058431
537	0.02499619613
538	0.0249917034
539	0.02499047833
540	0.02498843799
541	0.02498282138
542	0.02497572178
543	0.02497260792
544	0.02496612444
545	0.02496193221
546	0.0249584471
547	0.02495641239
548	0.02495358442
549	0.02495189947
550	0.0249489828
551	0.0249452105
552	0.02494155533
553	0.02493888214
554	0.02493648138
555	0.02493510156
556	0.0249313408
557	0.02492705751
558	0.02492247427
559	0.02492105343
560	0.02491931907
561	0.02491618536
562	0.02491195029
563	0.0249077732
564	0.02490563131
565	0.02490325772
566	0.02489999993
567	0.02489725262
568	0.02489359132
569	0.02488984963
570	0.0248858372
571	0.02487939205
572	0.02487757764
573	0.02487526849
574	0.02487186001
575	0.02486495808
576	0.02486070319
577	0.02485828392
578	0.02485746449
579	0.02485385238
580	0.02485174308
581	0.02484987811
582	0.02484822021
583	0.02484339959
584	0.02483833388
585	0.02483642153
586	0.02483421005
587	0.02482880727
588	0.02482520886
589	0.02482235944
590	0.0248198954
591	0.02481466082
592	0.02480997778
593	0.02480537691
594	0.02480384593
595	0.02480076052
596	0.02479836138
597	0.02479443111
598	0.02479083453
599	0.02478764372
600	0.02478516139
601	0.02478079279
602	0.02477849409
603	0.02477505153
604	0.02477169458
605	0.02476964345
606	0.0247669098
607	0.02476228531
608	0.02476223131
609	0.02475862154
610	0.02475743458
611	0.02475403171
612	0.02475298434
613	0.02475078739
614	0.02474528185
615	0.02473836133
616	0.02473417469
617	0.0247317963
618	0.02472887362
619	0.02472510041
620	0.02472184742
621	0.02471677544
622	0.02471266213
623	0.02470713539
